message,recognition_rate,condition
commercial_att_30s,0.75,spot_real
commercial_aribnb_30s,0.883333333,spot_real
commercial_carscom_30s,0.716666667,spot_real
commercial_cookies_30s,0.916666667,spot_real
commercial_dominos_30s,0.9,spot_real
commercial_doritos_30s,0.95,spot_real
commercial_google_pixel_30s,0.766666667,spot_real
commercial_jersey_mikes_30s,0.983333333,spot_real
commercial_lego_30s,0.75,spot_real
commercial_milk_30s,0.733333333,spot_real
commercial_progressive_30s,0.983333333,spot_real
commercial_publix_30s,0.8,spot_real
commercial_puma_30s,0.866666667,spot_real
commercial_meta_quest_2_30s,0.833333333,spot_real
commercial_starbucks_30s,0.733333333,spot_real
commercial_hr_block_30s,0.916666667,spot_real
commercial_under_armour_30s,0.6,spot_real
commercial_expedia_30s,0.6,spot_real
health_alzheimers_30s,0.816666667,spot_real
health_stroke_30s,0.733333333,spot_real
health_alcohol_30s,0.966666667,spot_real
health_drunk_driving_30s,0.883333333,spot_real
health_diet_30s,0.9,spot_real
health_kidney_30s,0.85,spot_real
health_mantherapy_30s,0.966666667,spot_real
health_fitness_30s,0.65,spot_real
health_prediabetes_30s,0.866666667,spot_real
health_vaping_30s,0.85,spot_real
health_covid_vaccine_30s,0.883333333,spot_real
health_weight_30s,0.733333333,spot_real
distractor_related_milk_30s,0.183333333,distractor
distractor_related_nike,0.15,distractor
distractor_related_sony,0.133333333,distractor
distractor_related_covid_vaccine_30s,0.666666667,distractor
distractor_related_stroke_30s,0.133333333,distractor
distractor_unrelated_pare_technologies,0.116666667,distractor
distractor_unrelated_ahmc,0.05,distractor
distractor_unrelated_brain_30s,0.066666667,distractor
distractor_unrelated_beauty,0.066666667,distractor
distractor_unrelated_iedg,0.05,distractor