ID,age,gender,immersive_1_deepinvolvement,immersive_2_involvementpeopleattention,???INV_immersive_3_mentalalertness,immersive_4_awaresurrounding,immersive_5_frequentidentification,immersive_6_insidethegame,immersive_7_physicallyfit,???INV_immersive_8_blockingdistraction,immersive_9_reactlikegameplayer,immersive_10_daydream ,immersive_11_realdreams,immersive_12_losetrime,immersive_13_concentrateenjoyable,immersive_14_oftengaming,immersive_15_excitementfightchase,immersive_16_scaredmovie,immersive_17_fearfulaftermovie,immersive_18_losealltime,space_1_actuallythere,space_2_tookpartinaction,space_3_locationshifted,space_4_physicallypresent,space_5_steppedintoplace,space_6_thingsaroundme,space_7_beinginmiddle,space_8_objectssurrounded,space_9_experiencedspacethere,space_10_bodysurrounded,meanscore_space,virtualsick_1_generaldisc,virtualsick_2_fatigue,virtualsick_3_headache,virtualsick_4_eyestrain,virtualsick_5_difficultfocus,virtualsick_6_salivation,virtualsick_7_sweating,virtualsick_8_nausea,virtualsick_9_difficultyconcentrating,virtualsick_10_fullhead,virtualsick_11_blurred,virtualsick_12_dizziness,virtualsick_13_dizzinessclosedeyes,virtualsick_14_vertigo,virtualsick_15_stomach,virtualsick_16_burping,mean_sickness
sub001,25,1,4,4,3,4,4,2,4,6,2,6,6,3,6,2,4,3,3,6,4,3,5,3,3,4,2,2,3,4,3.3,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1.1875
sub002,26,2,6,3,6,7,6,5,4,6,4,6,7,6,7,5,6,2,2,7,5,3,5,5,3,3,2,2,3,4,3.5,3,2,3,3,2,2,1,2,1,3,1,1,1,1,1,1,1.75
sub003,19,2,5,4,4,3,4,2,5,4,3,4,2,6,7,2,5,6,2,5,4,4,4,4,4,5,4,5,4,5,4.3,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1.375
sub004,19,2,5,3,4,4,2,2,5,4,3,5,4,5,6,2,3,6,5,4,4,4,4,4,3,3,3,4,4,4,3.7,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1.0625
sub005,20,2,4,2,6,4,2,2,4,3,1,4,3,4,5,2,3,3,3,3,5,4,5,5,5,5,3,5,4,4,4.5,1,2,1,2,3,2,1,1,3,3,3,3,1,1,1,1,1.8125
sub006,27,2,6,5,4,5,5,5,5,5,4,5,5,4,5,5,5,7,6,6,4,4,4,3,4,3,4,4,4,3,3.7,2,3,2,3,2,1,1,2,1,1,2,2,1,1,1,1,1.625
sub007,19,1,5,3,5,5,5,3,5,2,6,6,4,6,7,7,5,6,4,4,5,4,5,5,5,4,4,5,5,5,4.7,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1.1875
sub008,23,2,7,5,6,4,4,2,5,5,4,6,4,4,4,2,6,4,2,5,4,5,4,4,5,3,5,5,5,5,4.5,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1.1875
sub009,21,1,4,4,6,5,6,5,6,6,6,3,4,5,5,3,5,6,6,4,4,4,4,4,5,4,5,3,4,3,4,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1.25
sub010,22,2,7,7,5,7,6,5,4,4,5,5,6,4,6,3,6,7,7,6,4,4,4,4,5,3,4,3,4,4,3.9,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1.25
sub011,20,2,5,3,4,4,3,2,3,4,3,6,6,2,6,1,5,3,2,6,4,2,4,2,4,2,2,4,3,2,2.9,2,1,1,2,2,1,2,1,2,2,3,1,1,1,1,1,1.5
sub012,21,2,7,3,5,3,3,1,3,4,1,2,4,4,5,1,7,4,1,7,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.0625
sub013,35,1,5,5,6,5,5,7,5,5,6,7,4,7,7,4,5,7,5,7,4,3,4,2,3,3,3,3,4,2,3.1,3,3,3,2,1,1,1,2,1,2,1,2,2,2,1,1,1.75
sub014,18,2,7,6,5,6,5,3,4,4,7,6,7,4,7,2,7,7,4,4,4,4,4,3,4,4,4,5,5,5,4.2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1.4375
sub015,19,1,7,4,6,4,7,7,7,5,4,6,6,7,5,4,7,5,3,5,5,5,5,5,5,5,5,5,5,5,5,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1.25
sub016,18,2,5,1,6,4,3,2,5,4,2,2,5,4,5,2,5,6,4,4,3,4,4,2,3,2,2,2,2,2,2.6,2,2,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1.4375
sub017,21,2,4,4,4,5,6,6,4,4,3,3,5,3,4,4,6,5,6,5,4,4,5,5,5,3,4,5,5,5,4.5,2,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1.3125
sub018,19,1,4,3,5,4,4,2,6,5,5,3,4,5,6,6,5,5,2,5,4,4,2,2,3,3,4,2,3,4,3.1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1.25
sub019,21,2,6,4,7,4,7,6,7,7,1,7,5,1,6,7,6,5,7,6,4,1,5,4,5,1,2,2,3,4,3.1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1.1875
sub020,19,1,5,6,4,4,3,5,4,3,2,5,5,3,6,7,5,6,2,5,4,3,4,4,4,2,2,3,3,2,3.1,2,2,2,3,2,1,2,1,1,2,2,2,1,1,1,1,1.625
sub021,20,2,4,5,3,4,4,2,3,4,3,3,2,1,6,5,3,6,5,6,4,4,4,4,5,4,4,5,4,5,4.3,2,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1.375
sub022,21,1,7,4,5,5,5,2,4,4,6,6,3,3,3,7,5,4,2,6,4,3,4,4,4,1,2,2,2,2,2.8,2,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1.375
sub023,23,1,3,3,4,4,3,5,5,4,5,4,6,4,6,5,3,2,3,4,3,2,2,3,2,2,2,3,3,2,2.4,2,1,1,2,3,2,1,1,2,1,2,2,1,1,1,1,1.5
sub024,,1,4,3,3,6,5,5,4,4,2,5,2,6,5,5,6,6,5,4,2,2,2,2,2,2,1,4,2,4,2.3,2,,2,3,2,2,1,2,2,1,2,2,1,1,1,1,1.666666667
sub025,22,2,6,5,6,3,5,1,5,3,3,5,5,3,3,2,5,6,5,5,4,2,4,2,2,2,2,4,4,2,2.8,2,1,1,1,3,1,1,1,3,2,2,1,1,1,1,1,1.4375
sub026,27,2,7,3,4,4,3,1,4,3,3,1,3,6,7,2,2,4,4,5,4,4,4,4,4,4,4,3,4,4,3.9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0625
sub027,21,2,4,4,5,4,4,4,4,5,4,3,3,4,5,2,4,6,4,4,5,4,5,5,5,4,3,3,4,3,4.1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1.1875
sub028,22,1,6,4,5,4,6,2,5,5,6,5,6,7,6,5,5,6,6,5,4,2,4,3,3,3,2,4,4,4,3.3,2,2,2,2,3,1,1,1,2,2,2,1,1,1,1,1,1.5625
sub029,19,1,5,3,5,4,5,2,5,4,7,1,2,7,5,3,5,4,1,4,4,4,4,3,3,3,1,4,3,4,3.3,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1.4375
sub030,20,1,5,5,4,3,6,3,5,5,3,3,6,5,5,6,7,6,2,5,4,3,4,4,5,4,2,5,4,4,3.9,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1.25
sub031,21,1,7,6,4,4,6,4,5,3,2,3,6,4,7,3,3,6,4,6,4,3,4,4,5,3,2,4,4,5,3.8,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1.1875
sub032,18,1,4,4,4,7,4,1,5,5,7,7,7,7,6,4,4,6,6,7,5,4,3,4,4,1,4,4,5,1,3.5,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1.25
sub033,19,1,4,3,5,4,5,5,6,3,3,6,5,3,6,7,6,6,6,6,2,2,4,4,5,3,3,4,4,4,3.5,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1.5625
sub034,21,1,4,4,5,4,3,2,4,5,4,3,2,7,5,7,6,4,2,4,4,4,4,4,4,1,1,1,4,4,3.1,2,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,1.375
sub035,20,1,4,3,4,2,3,4,1,4,2,1,4,4,4,7,4,4,2,4,4,4,4,4,4,4,3,4,4,3,3.8,3,2,3,1,2,2,1,1,2,2,2,1,1,1,1,1,1.625
sub036,18,2,5,4,4,5,3,1,3,4,5,5,3,6,5,4,3,7,6,7,4,4,5,4,5,3,4,4,5,4,4.2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,1,1,1.5625
sub037,20,1,6,4,5,6,7,3,6,3,7,6,3,5,7,4,5,6,5,6,5,4,5,5,5,4,4,4,5,5,4.6,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1.25
sub038,20,2,4,2,7,5,5,2,6,5,7,1,6,5,7,2,7,7,6,7,5,4,5,4,5,4,3,4,5,4,4.3,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1.125
sub039,20,2,3,5,4,5,3,1,5,3,4,3,4,6,5,1,2,2,2,4,4,4,3,3,3,2,2,4,4,1,3,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1.4375
sub040,21,1,5,5,6,4,3,2,5,4,6,3,6,7,5,7,5,5,3,6,5,4,2,3,2,2,2,2,2,1,2.5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.0625
sub041,19,2,6,3,6,5,5,3,6,5,4,2,4,6,5,3,6,5,2,6,4,4,4,4,3,4,3,4,3,5,3.8,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1.3125
sub042,19,1,3,2,6,3,3,1,5,5,5,5,2,6,6,3,5,4,2,2,2,4,2,1,3,1,1,1,2,1,1.8,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1.3125
sub043,19,1,4,5,4,5,4,5,4,5,2,3,4,2,5,3,4,5,4,4,5,4,4,4,2,2,4,3,4,4,3.6,2,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1.3125
sub044,21,1,3,1,5,3,5,6,7,4,1,5,4,7,6,3,3,2,2,5,4,3,4,4,4,4,5,3,2,2,3.5,2,2,1,2,2,1,1,1,2,1,3,1,1,1,1,1,1.4375
sub045,20,2,7,3,6,2,5,1,4,3,2,2,3,4,5,1,5,7,4,2,3,5,4,3,3,4,4,2,4,5,3.7,2,3,3,2,2,1,1,2,2,3,1,1,1,1,1,1,1.6875
sub046,21,2,7,6,4,6,7,4,5,6,5,4,4,7,6,2,3,7,7,6,4,4,4,4,5,4,4,5,4,4,4.2,2,3,1,3,2,1,1,1,2,2,2,2,1,1,1,1,1.625
sub047,20,1,6,4,4,3,5,5,6,3,6,4,3,7,7,4,5,4,4,6,4,4,5,5,5,2,3,4,4,4,4,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1.3125
sub048,20,2,6,4,6,4,5,2,6,6,2,5,6,7,6,1,5,5,4,4,5,5,4,4,5,4,5,5,2,3,4.2,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1.3125
sub049,19,2,6,4,7,2,5,1,5,5,3,4,6,4,6,1,5,5,5,4,2,2,4,1,1,2,1,1,1,4,1.9,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1.375
sub050,19,2,4,4,7,4,4,6,5,5,2,5,5,1,6,5,7,5,5,7,4,4,5,5,5,4,4,5,5,5,4.6,2,1,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1.375
sub051,20,2,7,5,6,7,7,1,4,4,4,5,6,2,7,2,7,7,6,7,5,3,4,5,5,5,2,4,2,1,3.6,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1.25
sub052,21,2,7,6,7,6,6,5,7,7,6,6,4,5,7,4,7,5,4,6,5,4,3,5,5,4,5,5,5,5,4.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sub053,19,1,4,4,6,4,4,4,5,3,6,6,6,4,7,5,7,5,5,5,2,3,3,3,2,2,2,4,2,3,2.6,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1.1875
sub054,19,1,4,5,6,5,2,3,7,6,7,4,4,7,7,4,6,4,2,6,4,4,4,5,5,2,3,5,4,3,3.9,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1.1875
sub055,20,2,6,4,5,4,5,4,4,4,3,4,4,5,5,4,5,5,5,6,4,4,5,4,4,4,4,4,5,3,4.1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1.125
sub056,20,2,6,4,5,2,6,1,4,4,7,6,4,3,7,1,3,4,2,4,5,5,5,5,5,5,4,2,4,3,4.3,2,3,1,3,2,2,1,2,2,1,2,2,2,1,1,1,1.75
sub057,22,1,6,6,6,7,6,7,5,5,7,7,4,7,7,7,4,4,3,7,3,3,2,3,4,2,2,2,2,2,2.5,3,2,1,1,2,1,1,1,2,1,3,1,1,1,1,1,1.4375
sub058,20,2,6,6,4,4,5,1,4,1,3,4,5,4,6,1,6,5,6,6,3,3,4,2,4,2,1,4,4,2,2.9,2,3,1,2,2,1,1,2,2,3,3,3,2,2,1,1,1.9375
sub059,20,1,5,4,6,5,5,5,6,4,3,2,4,4,6,7,6,4,3,3,4,4,5,4,4,4,4,3,4,3,3.9,2,1,1,2,2,1,2,1,1,1,3,2,2,1,1,1,1.5
sub060,20,1,4,3,6,4,3,2,5,4,6,5,6,7,7,2,3,3,2,4,4,5,4,4,4,5,3,4,4,5,4.2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,2,1.5625