condition,spot,N,mean_isc,mean_recall,mean_recognition
100,commercial_aribnb_30s,20,0.685,0.55,0.85
100,commercial_att_30s,19,0.488,0,1
100,commercial_carscom_30s,20,0.616,0.25,0.8
100,commercial_cookies_30s,20,0.693,0.1,0.95
100,commercial_dominos_30s,20,0.617,0.3,1
100,commercial_doritos_30s,19,0.703,0.474,1
100,commercial_expedia_30s,20,0.598,0.1,0.65
100,commercial_google_pixel_30s,20,0.768,0.15,0.8
100,commercial_hr_block_30s,20,0.674,0.35,1
100,commercial_jersey_mikes_30s,20,0.48,0.35,1
100,commercial_lego_30s,20,0.663,0.2,0.8
100,commercial_meta_quest_2_30s,20,0.558,0.2,0.95
100,commercial_milk_30s,20,0.554,0.2,0.95
100,commercial_progressive_30s,19,0.616,0.105,0.947
100,commercial_publix_30s,19,0.487,0.211,0.895
100,commercial_puma_30s,19,0.475,0.526,0.895
100,commercial_starbucks_30s,19,0.578,0.211,0.789
100,commercial_under_armour_30s,19,0.507,0.316,0.737
100,health_alcohol_30s,19,0.393,0.684,0.947
100,health_alzheimers_30s,20,0.542,0.5,0.85
100,health_covid_vaccine_30s,20,0.412,0.2,0.95
100,health_diet_30s,20,0.676,0.55,0.9
100,health_drunk_driving_30s,20,0.659,0.45,0.95
100,health_fitness_30s,20,0.153,0.2,0.8
100,health_kidney_30s,20,0.716,0.6,0.9
100,health_mantherapy_30s,20,0.388,0.1,1
100,health_prediabetes_30s,20,0.579,0.4,0.9
100,health_stroke_30s,19,0.454,0.105,0.789
100,health_vaping_30s,18,0.618,0.5,0.944
100,health_weight_30s,19,0.501,0.368,0.737
50nd,commercial_aribnb_30s,19,0.514,0.526,0.947
50nd,commercial_att_30s,20,0.543,0.15,0.7
50nd,commercial_carscom_30s,18,0.458,0.056,0.722
50nd,commercial_cookies_30s,19,0.31,0.158,0.947
50nd,commercial_dominos_30s,18,0.287,0.111,0.944
50nd,commercial_doritos_30s,18,0.771,0.278,1
50nd,commercial_expedia_30s,19,0.447,0.158,0.632
50nd,commercial_google_pixel_30s,20,0.579,0.15,0.85
50nd,commercial_hr_block_30s,20,0.528,0.15,0.85
50nd,commercial_jersey_mikes_30s,20,0.452,0.3,0.95
50nd,commercial_lego_30s,20,0.619,0.2,0.55
50nd,commercial_meta_quest_2_30s,20,0.42,0.15,0.8
50nd,commercial_milk_30s,20,0.556,0.15,0.75
50nd,commercial_progressive_30s,20,0.683,0.25,1
50nd,commercial_publix_30s,20,0.661,0.2,0.8
50nd,commercial_puma_30s,19,0.447,0.105,0.947
50nd,commercial_starbucks_30s,19,0.57,0.158,0.895
50nd,commercial_under_armour_30s,19,0.566,0.211,0.579
50nd,health_alcohol_30s,20,0.259,0.75,1
50nd,health_alzheimers_30s,19,0.328,0.263,0.789
50nd,health_covid_vaccine_30s,19,0.329,0.421,0.842
50nd,health_diet_30s,19,0.533,0.316,0.842
50nd,health_drunk_driving_30s,18,0.492,0.333,0.944
50nd,health_fitness_30s,20,0.011,0.3,0.7
50nd,health_kidney_30s,20,0.477,0.3,0.85
50nd,health_mantherapy_30s,20,0.416,0.15,0.9
50nd,health_prediabetes_30s,20,0.5,0.25,0.8
50nd,health_stroke_30s,20,0.573,0.1,0.85
50nd,health_vaping_30s,20,0.641,0.55,0.9
50nd,health_weight_30s,19,0.536,0.263,0.895
50wd,commercial_aribnb_30s,20,0.338,0.45,0.85
50wd,commercial_att_30s,20,0.15,0.15,0.55
50wd,commercial_carscom_30s,20,0.463,0.5,0.65
50wd,commercial_cookies_30s,20,0.478,0.05,0.85
50wd,commercial_dominos_30s,20,0.423,0.15,0.8
50wd,commercial_doritos_30s,20,0.648,0.3,0.95
50wd,commercial_expedia_30s,20,0.358,0.15,0.5
50wd,commercial_google_pixel_30s,19,0.489,0,0.632
50wd,commercial_hr_block_30s,19,0.551,0.158,0.895
50wd,commercial_jersey_mikes_30s,19,0.526,0.316,1
50wd,commercial_lego_30s,19,0.661,0.211,0.895
50wd,commercial_meta_quest_2_30s,17,0.519,0.059,0.882
50wd,commercial_milk_30s,18,0.421,0.278,0.5
50wd,commercial_progressive_30s,20,0.305,0.4,1
50wd,commercial_publix_30s,20,0.265,0.1,0.7
50wd,commercial_puma_30s,20,0.417,0.05,0.8
50wd,commercial_starbucks_30s,20,0.543,0.1,0.55
50wd,commercial_under_armour_30s,20,0.335,0.2,0.5
50wd,health_alcohol_30s,20,0.299,0.45,1
50wd,health_alzheimers_30s,20,0.39,0.25,0.8
50wd,health_covid_vaccine_30s,20,0.343,0.3,0.85
50wd,health_diet_30s,20,0.305,0.2,0.95
50wd,health_drunk_driving_30s,20,0.334,0.2,0.8
50wd,health_fitness_30s,17,0.102,0.118,0.471
50wd,health_kidney_30s,18,0.588,0.111,0.833
50wd,health_mantherapy_30s,19,0.369,0.263,1
50wd,health_prediabetes_30s,18,0.333,0.5,0.944
50wd,health_stroke_30s,20,0.357,0.15,0.55
50wd,health_vaping_30s,20,0.334,0.4,0.75
50wd,health_weight_30s,20,0.381,0.25,0.6